"TotCases" "TotDeath" "Recovered" "ActCases" "Cases1M" "Deaths1M" "TotTests" "Tests1M" "Pop" "ASEAN"
"Afghanistan" 14525 249 1303 12973 373.91 6.41 37348 961.43 38846163 0
"Armenia" 8927 127 3317 5483 3013.04 42.87 57081 19265.99 2962785 0
"Azerbaijan" 5246 61 3327 1858 517.8 6.02 294264 29045.09 10131281 0
"Bahrain" 10793 17 5826 4950 6365.23 10.03 309573 182572.48 1695617 0
"Bangladesh" 44608 610 9375 34623 271.1 3.71 297054 1805.29 164546795 0
"Bhutan" 43 0 6 37 55.78 0 17038 22102.44 770865 0
"Brunei" 141 2 138 1 322.57 4.58 19130 43764.13 437116 1
"Cambodia" 125 0 123 2 7.49 0 20406 1222.04 16698376 1
"China" 83001 4634 78304 63 57.67 3.22 0 0 1439323776 0
"Cyprus" 944 17 790 137 782.36 14.09 115694 95883.67 1206608 0
"Georgia" 757 12 600 145 189.73 3.01 53618 13438.82 3989785 0
"Hong Kong" 1083 4 1036 43 144.56 0.53 202930 27087.11 7491755 0
"India" 182143 5185 86984 89974 132.1 3.76 3737027 2710.3 1378826256 0
"Indonesia" 25773 1573 7015 17185 94.31 5.76 311906 1141.38 273271317 1
"Iran" 148950 7734 116827 24389 1775.37 92.18 896571 10686.45 83897889 0
"Iraq" 6179 195 3110 2874 153.94 4.86 211485 5268.96 40137925 0
"Israel" 17024 284 14812 1928 1850.92 30.88 568452 61804.45 9197590 0
"Japan" 16804 886 14406 1512 132.83 7 287754 2274.6 126507477 0
"Jordan" 734 9 507 218 72 0.88 183641 18014.03 10194333 0
"Kazakhstan" 10858 38 5220 5600 578.88 2.03 812881 43337.59 18756949 0
"Kuwait" 26192 205 10156 15831 6141.27 48.07 290013 67999.65 4264919 0
"Kyrgyzstan" 1748 16 1170 562 268.33 2.46 111859 17170.87 6514462 0
"Laos" 19 0 16 3 2.61 0 6432 885.2 7266127 1
"Lebanon" 1191 26 708 457 174.43 3.81 82076 12020.73 6827871 0
"Macao" 45 0 45 0 69.39 0 0 0 648548 0
"Malaysia" 7762 115 6330 1317 240.09 3.56 546368 16900.07 32329329 1
"Maldives" 1672 5 406 1261 3098.15 9.26 11775 21818.61 539677 0
"Mongolia" 179 0 44 135 54.68 0 13672 4176.53 3273528 0
"Myanmar" 224 6 130 88 4.12 0.11 24710 454.41 54378732 1
"Nepal" 1401 6 219 1176 48.16 0.21 173784 5974.22 29088995 0
"Oman" 10423 42 2396 7985 2046.04 8.24 72000 14133.61 5094240 0
"Pakistan" 69496 1483 25271 42742 315.18 6.73 547030 2480.89 220497647 0
"Palestine" 447 3 368 76 87.81 0.59 44876 8816.07 5090250 0
"Philippines" 17224 950 3808 12466 157.37 8.68 340954 3115.11 109451714 1
"Qatar" 55262 36 25839 29387 19210.59 12.51 217988 75778.61 2876643 0
"South Korea" 11468 270 10405 793 223.7 5.27 910822 17766.74 51265561 0
"Saudi Arabia" 83384 480 58883 24021 2398.5 13.81 806569 23200.53 34765118 0
"Singapore" 34366 23 20727 13616 5878.15 3.93 334691 57247.41 5846395 1
"Sri Lanka" 1620 10 781 829 75.68 0.47 63935 2986.82 21405720 0
"Syria" 122 4 43 75 6.99 0.23 0 0 17460385 0
"Taiwan" 442 7 421 14 18.56 0.29 71909 3019.71 23813214 0
"Tajikistan" 3807 47 1865 1895 400 4.94 0 0 9517571 0
"Thailand" 3081 57 2963 61 44.15 0.82 375453 5380.1 69785445 1
"Timor-Leste" 24 0 24 0 18.24 0 1290 980.14 1316139 0
"Turkey" 163103 4515 126984 31604 1935.72 53.58 2003594 23778.76 84259813 0
"UAE" 33896 262 17546 16088 3430.81 26.52 2110493 213615.2 9879882 0
"Uzbekistan" 3554 14 2783 757 106.32 0.42 460000 13761.8 33425870 0
"Vietnam" 328 0 279 49 3.37 0 275000 2827.39 97262917 1
"Yemen" 310 77 13 220 10.42 2.59 120 4.03 29764568 0
